start	end	speaker	wconfidence	text
61542	61898	A	1.0	about
61984	62582	A	0.99992	infinite
62646	63018	A	0.99997	energy
63104	63546	A	0.99999	transfer
63648	64010	A	0.99993	across
64080	64314	A	0.99988	this
64352	65130	A	0.87837	boundary.
65790	66298	A	0.99	And
66384	66598	A	1.0	of
66624	66766	A	0.99998	course,
66788	66926	A	0.99989	we
66948	67274	A	0.99985	assume
67322	67866	A	0.9999	conservation
67898	68046	A	1.0	of
68068	68350	A	0.996	energy
68420	68606	A	0.9975	so
68628	68718	A	0.97756	there
68724	68846	A	0.75114	are
68868	69102	A	0.99975	no
69156	69562	A	0.98931	sources
69626	69854	A	0.99946	or
69892	70750	A	0.9773	sinks
71090	71502	A	0.99971	in
71556	71774	A	0.99994	either
71812	71918	A	0.91	of
71924	72094	A	1.0	the
72132	72682	A	1.0	systems.
72746	73114	A	0.71393	Alice
73162	73326	A	1.0	and
73348	74058	A	0.99829	Bob
74234	74622	A	0.98	and
74676	74894	A	0.99952	we
74932	75482	A	0.78569	emphasize
75546	75822	A	0.99962	that
75876	76382	A	0.99952	this
76516	76814	A	0.99989	way
76852	77440	A	1.0	of
77890	78506	A	0.99065	depicting
78538	78734	A	0.99996	things
78772	78986	A	0.58907	as
79028	79854	A	0.8986	topological
79902	80158	A	0.79264	we're
80174	80354	A	0.99995	not
80392	80846	A	0.99926	assuming
80878	81074	A	0.99998	any
81112	81662	A	0.99977	background
81726	82430	A	0.99983	geometry,
82510	82850	A	0.99945	no
82920	83106	A	0.99257	sort
83128	83362	A	0.96	of
83416	83854	A	0.99983	spatial
83902	84462	A	0.87582	embedding
84526	84706	A	0.99989	which
84728	84866	A	0.99506	is
84888	84978	A	0.92472	going
84984	85106	A	0.8	to
85128	85362	A	0.99972	become
85416	85634	A	0.99999	very
85672	86018	A	0.99999	important
86104	86306	A	0.99993	in
86328	86514	A	0.99973	this
86552	87250	A	0.9949	session.
89750	90066	A	0.99885	In
90088	90226	A	1.0	the
90248	90434	A	0.99999	last
90472	90814	A	0.99976	session,
90862	91074	A	0.99997	we
91112	91422	A	0.99997	talked
91496	91878	A	1.0	about
91964	92600	A	0.99896	how
92970	93430	A	1.0	the
93500	94146	A	0.97048	boundary,
94258	94486	A	0.99995	which
94508	94706	A	0.67804	I'll
94738	94934	A	0.99926	always
94972	95270	A	0.98926	call
95340	95960	A	0.8	B
96730	97046	A	0.99968	can
97068	97206	A	0.99998	be
97228	97366	A	0.99998	thought
97388	97574	A	1.0	of
97612	97814	A	0.99992	as
97852	98342	A	0.81	a
98476	98918	A	0.99999	channel
99004	99302	A	0.9999	that
99356	100178	A	0.67047	comprises
100274	100582	A	0.5	N
100636	101298	A	0.99891	qubits
101394	101606	A	0.99993	that
101628	101814	A	0.99998	are
101852	102706	A	0.99514	independent.
102818	103238	A	0.99	And
103324	103714	A	0.98142	Alice
103762	103938	A	1.0	and
103964	104390	A	0.95543	Bob
104470	104810	A	0.99998	each
104880	105114	A	0.9999	can
105152	106022	A	0.81133	prepare
106166	106522	A	1.0	and
106576	106982	A	0.99996	measure
107046	107274	A	0.99998	those
107312	108090	A	0.90236	qubits
108510	108874	A	1.0	and
108912	109066	A	0.99994	they
109088	109322	A	0.94365	can
109376	109738	A	0.99999	always
109824	110266	A	0.99998	choose
110368	111238	A	0.99613	independently
111334	111594	A	1.0	their
111632	112102	A	0.66175	reference
112166	112534	A	0.9998	frames
112582	112794	A	0.99688	for
112832	113082	A	0.99999	doing
113136	113450	A	0.99986	so.
113520	113754	A	0.83938	So
113792	113994	A	0.99968	how
114032	114186	A	0.99997	they
114208	114742	A	0.94447	define
114806	115034	A	0.68086	up
115072	115322	A	0.74	and
115376	115834	A	0.99999	down
115952	116186	A	0.99996	when
116208	116418	A	0.99888	they're
116454	116842	A	0.95642	measuring
116906	117134	A	1.0	a
117172	117870	A	0.99684	spin
118210	118670	A	0.99998	with
118740	119354	A	0.99976	effectively
119402	119566	A	1.0	a
119588	120186	A	0.72619	Zspin
120218	121070	A	0.71121	operator.
121810	122222	A	0.97	To
122276	122682	A	0.92589	interact
122746	123166	A	1.0	with
123268	123534	A	0.99996	these
123572	124430	A	0.79428	qubits.
125810	126174	A	0.99998	We
126212	126462	A	0.99998	talked
126516	126638	A	1.0	a
126644	126766	A	1.0	little
126788	126926	A	0.99997	bit
126948	127230	A	0.74	about
127300	127486	A	1.0	the
127508	127694	A	1.0	free
127732	128030	A	0.9997	energy
128100	128602	A	0.77723	principle
128666	128858	A	0.75	and
128884	129074	A	0.51822	its
129112	129582	A	0.99951	quantum
129646	130690	A	0.99962	formulation.
131510	131922	A	1.0	And
131976	132194	A	0.8	the
132232	132702	A	0.73445	principle
132766	133186	A	0.99976	basically
133288	133602	A	0.99995	says
133656	133970	A	0.99989	that
134040	134702	A	0.79343	interacting
134766	135438	A	1.0	systems
135534	135794	A	0.99987	will
135832	136174	A	0.99974	behave
136222	136386	A	0.99999	in
136408	136498	A	1.0	a
136504	136674	A	0.99997	way
136712	136866	A	1.0	that
136888	137326	A	0.99995	aligns
137358	137506	A	0.98	their
137528	137934	A	0.9999	reference
137982	138690	A	0.9996	frames
139670	140034	A	1.0	and
140072	140226	A	0.99964	that
140248	140434	A	0.5433	they
140472	140910	A	0.52081	therefore
140990	141786	A	0.36305	asymptotically
141838	142226	A	0.59763	approach
142258	143250	A	0.99904	entanglement.
143410	143734	A	0.99631	So
143772	143974	A	1.0	the
144012	144514	A	0.99511	FEP
144562	144870	A	0.99949	is
144940	145126	A	1.0	a
145148	145554	A	0.9993	classical
145602	145906	A	0.99258	limit
145938	146038	A	1.0	of
146044	146214	A	1.0	the
146252	146594	A	0.27878	principle
146642	146806	A	1.0	of
146828	147906	A	0.60268	unitarity.
148098	148406	A	0.99	And
148428	148706	A	0.70936	that's
148738	148934	A	1.0	one
148972	149318	A	0.99999	reason
149404	149798	A	0.98922	for
149884	150434	A	0.99998	studying
150482	150866	A	0.99983	quantum
150898	151382	A	0.99981	information
151516	151814	A	1.0	to
151852	152150	A	0.99996	learn
152220	152550	A	0.64	more
152620	152998	A	1.0	about
153084	153334	A	1.0	the
153372	154318	A	0.99677	FEP
154514	154874	A	0.51	and
154912	155114	A	0.85255	so
155152	155306	A	1.0	to
155328	155514	A	0.99999	learn
155552	155802	A	0.98	more
155856	156170	A	1.0	about
156240	156646	A	0.9979	active
156678	157238	A	0.91986	inference
157334	157690	A	1.0	and
157760	157994	A	1.0	what
158032	158186	A	0.97	the
158208	158486	A	0.83273	theory
158518	158666	A	1.0	of
158688	159046	A	0.99894	active
159078	159542	A	0.97953	inference
159606	159882	A	0.99967	says
159936	160346	A	1.0	about
160448	161100	A	0.99961	agents.
162990	163402	A	0.53	And
163456	163770	A	0.86306	last
163840	164122	A	0.99993	time,
164176	164442	A	0.76431	we
164496	164906	A	0.99997	talked
165008	165226	A	1.0	a
165248	165626	A	0.99999	lot
165728	166380	A	1.0	about
167090	167790	A	1.0	the
167940	168666	A	0.95186	constraints
168698	168846	A	0.99833	that
168868	169006	A	0.99991	are
169028	169402	A	0.95511	imposed
169466	169646	A	0.99999	by
169668	169806	A	0.99	a
169828	170202	A	0.99999	limited
170266	170494	A	1.0	free
170532	170830	A	0.99998	energy
170900	171530	A	0.99986	supply
171610	171902	A	0.99992	on
171956	172222	A	0.99986	any
172276	172880	A	0.99985	agent.
174050	174634	A	0.79722	Recall
174682	174846	A	1.0	that
174868	175102	A	0.99998	we
175156	175422	A	0.69267	talked
175476	175742	A	0.95	about
175796	175966	A	1.0	the
175988	176270	A	0.99241	fact
176340	176766	A	1.0	that
176868	177086	A	0.99999	in
177108	177246	A	1.0	the
177268	177674	A	0.99991	absence
177722	177982	A	1.0	of
178036	178442	A	0.99998	sources
178506	178686	A	1.0	of
178708	178906	A	1.0	free
178948	179540	A	0.91873	energy
181670	182130	A	1.0	within
182200	182434	A	0.62	an
182472	183060	A	0.99989	agent
183750	184162	A	0.99993	so
184216	184386	A	0.99998	as
184408	184546	A	0.99998	long
184568	184706	A	1.0	as
184728	184866	A	1.0	you
184888	185406	A	0.9988	conserve
185438	185730	A	1.0	energy
185800	186610	A	0.892	globally
186950	187314	A	0.99935	that
187352	187506	A	1.0	the
187528	187714	A	0.97	free
187752	188050	A	0.74231	energy
188120	188354	A	0.78704	that
188392	188642	A	0.99971	each
188696	189058	A	0.99997	agent
189144	189678	A	0.54305	uses
189774	189986	A	0.99994	has
190008	190194	A	0.99	to
190232	190386	A	0.99999	come
190408	190594	A	0.99999	from
190632	190882	A	1.0	its
190936	191626	A	0.64123	environment.
191758	192242	A	0.93873	That's
192306	192754	A	0.99998	clearly
192802	193014	A	1.0	true
193052	193254	A	0.97666	for
193292	193590	A	0.97	us.
193660	193894	A	0.85469	We
193932	194134	A	0.99826	have
194172	194470	A	1.0	to
194540	195042	A	0.99999	consume
195106	195714	A	0.66428	oxygen
195762	195974	A	0.93	and
196012	196214	A	0.99998	eat
196252	196550	A	0.99623	food
196620	196806	A	1.0	and
196828	197014	A	1.0	things
197052	197206	A	1.0	like
197228	197462	A	0.99998	that
197516	197686	A	1.0	to
197708	197942	A	1.0	keep
197996	198262	A	1.0	running
198316	198582	A	0.71615	as
198636	199510	A	1.0	systems.
200490	200998	A	1.0	And
201084	201382	A	1.0	we
201436	201874	A	0.88624	discussed
201922	202086	A	0.74	a
202108	202294	A	1.0	little
202332	202726	A	1.0	bit
202828	203190	A	1.0	this
203260	204150	A	0.98007	theorem
204590	205098	A	0.99919	that
205184	205482	A	1.0	if
205536	206140	A	0.77	two
206590	207254	A	0.81031	reference
207302	207782	A	0.99993	frames
207846	208122	A	0.93219	or
208176	208614	A	0.99243	quantum
208662	209430	A	0.99988	processes,
209510	209754	A	1.0	q
209792	209946	A	1.0	One
209968	210154	A	0.88	and
210192	210394	A	1.0	Q
210432	210922	A	1.0	Two
211056	211542	A	0.78553	don't
211606	212410	A	0.90765	commute,
212830	213194	A	1.0	they
213232	213386	A	0.99999	have
213408	213498	A	1.0	to
213504	213674	A	0.99997	be
213712	214246	A	0.57238	implemented
214278	214666	A	0.99998	by
214768	215446	A	0.99959	compartments
215478	215674	A	0.99979	that
215712	216354	A	0.99997	communicate
216422	216970	A	0.99886	classically.
217050	217246	A	1.0	And
217268	217466	A	0.99113	we'll
217498	217694	A	1.0	use
217732	217982	A	0.99981	this
218036	218842	A	0.46355	extensively
218906	219520	A	1.0	today.
220450	220814	A	0.99999	But
220852	221006	A	1.0	the
221028	221214	A	1.0	bottom
221252	221502	A	0.9801	line
221556	221822	A	0.7878	last
221876	222142	A	0.99993	time
222196	222366	A	1.0	was
222388	222622	A	0.85035	that
222676	223034	A	0.99998	physics
223082	223514	A	0.95999	alone
223562	223774	A	0.99999	gives
223812	224062	A	1.0	us
224116	225178	A	0.58517	compartmentalization
225274	225534	A	0.99486	in
225572	226074	A	1.0	systems
226122	226474	A	0.96669	whenever
226522	226686	A	1.0	the
226708	227146	A	1.0	systems
227178	227374	A	0.99999	are
227412	227882	A	0.99968	complex
227946	228222	A	1.0	enough
228276	228446	A	1.0	to
228468	228810	A	0.8728	have
228900	229806	A	0.94198	multiple
229998	230526	A	0.54927	kinds
230558	230706	A	1.0	of
230728	231310	A	0.99984	measurements
231390	231586	A	0.99998	that
231608	231794	A	0.99989	they
231832	232094	A	0.99195	can't
232142	232622	A	0.95144	deploy
232686	233970	A	0.84659	simultaneously.
236390	236850	A	0.99992	So
236920	237106	A	0.99995	where
237128	237326	A	0.77137	we're
237358	237940	A	0.99997	going
238870	239570	A	1.0	today,
239720	240126	A	0.9993	we're
240158	240402	A	0.99997	going
240456	241060	A	1.0	to
242090	242550	A	0.99995	start
242620	242854	A	0.99996	from
242892	243286	A	0.99981	this
243388	243702	A	0.99997	place
243756	243974	A	0.99979	we
244012	244262	A	0.99999	left
244316	244582	A	1.0	off
244636	244902	A	0.99999	last
244956	245462	A	0.99977	time
245596	245942	A	1.0	of
245996	246214	A	1.0	the
246252	246866	A	0.90988	possibility
246978	247302	A	1.0	of
247356	247862	A	0.99945	agents
247996	248246	A	0.99994	that
248268	248454	A	0.99996	are
248492	249830	A	0.99849	compartmentalized
250650	251254	A	1.0	and
251372	251750	A	0.99976	into
251820	252386	A	0.99962	compartments
252418	252566	A	0.99941	that
252588	252774	A	0.99995	have
252812	252966	A	1.0	to
252988	253602	A	0.99993	communicate
253666	254470	A	0.73435	classically.
255070	255434	A	0.99501	So
255472	255638	A	0.98711	we're
255654	255786	A	0.50761	going
255808	255994	A	1.0	to
256032	256234	A	0.99999	talk
256272	256618	A	1.0	about
256704	257146	A	0.99971	agents
257248	257466	A	0.99997	that
257488	257626	A	0.99974	can
257648	257882	A	0.99998	be
257936	259110	A	0.99966	compartmentalized
259190	259482	A	0.99985	into
259536	260022	A	0.99987	multiple
260086	261270	A	0.58642	subagents
261430	261802	A	0.99939	that
261856	262122	A	0.99999	share
262176	262346	A	1.0	an
262368	262950	A	0.98124	environment,
263030	263226	A	1.0	the
263248	263974	A	0.99917	environment
264102	264646	A	0.75617	consisting
264678	264922	A	0.83	of
264976	265770	A	0.99926	Bob
266270	266742	A	1.0	and
266816	267054	A	0.99997	how
267092	267342	A	0.70817	those
267396	267902	A	0.99985	agents
268036	268382	A	0.99997	talk
268436	268846	A	1.0	about
268948	269406	A	0.99999	that
269508	269946	A	0.99999	shared
269978	270830	A	0.90043	environment.
271490	271854	A	0.99996	So
271892	272046	A	1.0	the
272068	272554	A	0.99993	motivation
272602	272814	A	0.99998	for
272852	273054	A	1.0	this
273092	273342	A	0.99997	is
273396	274000	A	0.99999	simple.
274450	274954	A	0.58913	It's
275002	275310	A	0.99999	that
275380	275614	A	1.0	what
275652	275806	A	1.0	we
275828	276062	A	0.72377	do
276116	276286	A	1.0	all
276308	276494	A	0.9	the
276532	276830	A	0.99927	time
276900	277086	A	0.9956	is
277108	277246	A	1.0	a
277268	277550	A	1.0	group
277620	278250	A	0.99999	activity.
278330	278574	A	0.96	And
278612	278766	A	1.0	what
278788	278950	A	0.99999	we're
278970	279202	A	0.99968	doing
279256	279426	A	0.99999	right
279448	279634	A	1.0	now
279672	279874	A	0.85052	is
279912	280018	A	1.0	a
280024	280290	A	0.59	group
280360	280942	A	0.99998	activity
281006	281234	A	0.99999	that
281272	281982	A	0.99633	involves
282126	282622	A	0.78163	sharing
282686	282866	A	1.0	an
282888	283470	A	0.85445	environment.
283550	283886	A	0.99012	What's
283918	284206	A	0.99995	shown
284238	284386	A	0.99998	on
284408	284594	A	0.99992	this
284632	285218	A	0.99999	screen
285384	285762	A	1.0	and
285816	286130	A	1.0	talking
286200	286434	A	1.0	about
286472	287060	A	1.0	it.
287430	288180	A	1.0	And
289350	289666	A	1.0	the
289688	290018	A	0.9927	whole
290104	290450	A	0.99994	post
290520	291358	A	0.99328	session
291534	292350	A	0.99941	discussion
292430	293060	A	0.73742	process
293450	293814	A	0.63384	will
293852	294054	A	0.51721	be
294092	294390	A	0.99999	another
294460	294886	A	0.76735	example
294988	295254	A	1.0	of
295292	295542	A	0.99997	just
295596	295814	A	1.0	that
295852	296006	A	0.99999	sort
296028	296214	A	0.96	of
296252	296886	A	0.99977	thing.
297068	297846	A	0.50921	So
298028	298374	A	1.0	to
298412	298614	A	1.0	talk
298652	298902	A	1.0	about
298956	299442	A	0.53399	science
299506	299686	A	1.0	at
299708	300086	A	1.0	all
300188	300454	A	0.9999	or
300492	300694	A	1.0	to
300732	300934	A	0.99999	talk
300972	301270	A	1.0	about
301340	301574	A	0.99999	any
301612	301766	A	0.99999	kind
301788	301926	A	1.0	of
301948	302230	A	0.99999	social
302300	302774	A	0.56652	relations
302892	303174	A	0.92871	or
303212	303414	A	1.0	to
303452	303654	A	0.99999	talk
303692	303954	A	1.0	about
304012	304330	A	0.99977	anything
304400	304634	A	1.0	other
304672	304970	A	0.94874	than
305040	306090	A	0.97522	solipsism,
306430	306794	A	0.99999	we
306832	306986	A	0.99999	have
307008	307146	A	1.0	to
307168	307258	A	0.99999	be
307264	307386	A	0.98903	able
307408	307594	A	0.68	to
307632	307882	A	1.0	talk
307936	308250	A	1.0	about
308320	308650	A	0.99999	how
308720	309302	A	0.99998	multiple
309366	309930	A	0.99971	agents
310080	310998	A	0.99985	communicate
311094	311450	A	1.0	about
311520	311802	A	1.0	some
311856	312246	A	1.0	shared
312278	313130	A	0.99998	environment.
313630	313946	A	1.0	And
313968	314154	A	0.99976	so
314192	314406	A	0.99992	that's
314438	314634	A	1.0	what
314672	314838	A	0.99984	we're
314854	314986	A	0.99827	going
315008	315146	A	1.0	to
315168	315594	A	1.0	develop
315712	315994	A	1.0	a
316032	316514	A	0.99032	formal
316582	316814	A	0.9999	way
316852	317054	A	1.0	of
317092	317342	A	0.99999	talking
317396	318000	A	0.85	about.
318690	319198	A	1.0	And
319284	319486	A	0.65521	there
319508	319646	A	0.99943	are
319668	319854	A	1.0	two
319892	320094	A	1.0	things
320132	320334	A	1.0	to
320372	320954	A	0.9381	notice
321082	321374	A	0.97421	right
321412	321614	A	0.57	off
321652	322046	A	0.56	the
322148	322702	A	0.99982	top
322836	323230	A	1.0	about
323300	323920	A	0.99999	this.
324610	325118	A	0.53	One
325204	325550	A	0.99998	is
325620	326046	A	0.85844	that
326148	326414	A	1.0	the
326452	326606	A	1.0	way
326628	326954	A	0.94969	we've
327002	327482	A	0.75871	defined
327546	328234	A	0.99996	interactions
328282	328494	A	0.86	at
328532	329094	A	0.96883	boundaries,
329162	329406	A	0.99802	they're
329438	330062	A	0.60765	effectively
330126	331310	A	0.96476	instantaneous.
331470	331842	A	0.9999	So
331896	332162	A	0.99999	each
332216	332674	A	0.9999	agent,
332792	333460	A	0.99999	remember,
333990	334686	A	0.98996	interacts
334718	334914	A	0.99998	with
334952	335202	A	0.99993	its
335256	335790	A	0.99947	boundary
335870	336114	A	1.0	with
336152	336354	A	1.0	some
336392	336594	A	0.58355	set
336632	336834	A	1.0	of
336872	337758	A	0.99456	operators.
337854	338162	A	0.8	And
338216	338434	A	1.0	what
338472	338722	A	0.99998	those
338776	339470	A	0.65619	operators
339550	339986	A	0.9843	do
340088	340402	A	0.99998	is
340456	340974	A	0.99692	effectively
341022	341390	A	0.80557	measure
341470	341714	A	1.0	each
341752	342222	A	0.99999	operator
342286	342766	A	0.98627	effectively
342798	343438	A	0.97793	measures
343534	343794	A	1.0	the
343832	344126	A	0.99932	spin
344158	344306	A	1.0	of
344328	344418	A	1.0	a
344424	345326	A	0.6897	qubit.
345518	345922	A	0.99998	So
345976	346146	A	0.99999	this
346168	346306	A	0.99998	is
346328	346466	A	0.67	a
346488	346770	A	0.99997	very
346840	347218	A	1.0	fast
347304	347940	A	1.0	process.
350390	350754	A	0.56	The
350792	350994	A	1.0	other
351032	351620	A	0.99998	thing
351990	352354	A	0.78366	that
352392	352594	A	0.99997	we
352632	352834	A	0.99999	then
352872	353074	A	0.99998	need
353112	353362	A	1.0	to
353416	353798	A	0.91672	notice
353854	354460	A	0.41232	is
354990	355402	A	0.99996	that
355456	355674	A	1.0	if
355712	355914	A	0.99999	we
355952	356250	A	0.99999	have
356320	356698	A	1.0	two
356784	357420	A	0.99987	agents
358670	359034	A	1.0	and
359072	359334	A	0.76415	they're
359382	360102	A	0.76381	communicating
360166	360394	A	1.0	with
360432	360634	A	1.0	each
360672	361114	A	0.99998	other
361232	362170	A	0.99994	classically,
363710	364218	A	0.99998	then
364304	364566	A	0.99915	they're
364598	364746	A	1.0	going
364768	364906	A	1.0	to
364928	365210	A	0.99999	be
365280	365706	A	1.0	using
365808	366466	A	0.99995	degrees
366518	366686	A	1.0	of
366708	367114	A	0.83046	freedom
367162	367374	A	1.0	of
367412	367662	A	1.0	their
367716	368154	A	0.5298	shared
368202	368938	A	0.99617	environment
369034	369246	A	1.0	in
369268	369502	A	0.96624	order
369556	369774	A	1.0	to
369812	370762	A	0.87475	communicate.
370906	371166	A	1.0	And
371188	371466	A	0.9902	that's
371498	371790	A	0.99998	exactly
371860	372094	A	0.57	what
372132	372346	A	0.99999	we're
372378	372622	A	0.99999	doing
372676	372894	A	0.99999	right
372932	373278	A	1.0	now.
373364	373614	A	0.99999	For
373652	374046	A	1.0	example,
374148	374554	A	0.97951	we're
374602	375102	A	0.99996	using
375236	375786	A	0.99998	degrees
375818	375966	A	1.0	of
375988	376314	A	0.75411	freedom
376362	376478	A	1.0	of
376484	376606	A	0.99	the
376628	377470	A	0.99991	Internet
378130	378590	A	0.72	to
378660	379718	A	0.99994	communicate.
379914	380366	A	0.84925	I'm
380398	380642	A	1.0	using
380696	381166	A	0.90883	degrees
381198	381346	A	1.0	of
381368	381726	A	0.93432	freedom
381758	381858	A	1.0	of
381864	381986	A	0.79	the
382008	382290	A	0.99999	local
382360	383102	A	0.91	atmosphere
383166	383346	A	1.0	to
383368	383554	A	0.99991	talk
383592	383794	A	0.83	to
383832	384034	A	1.0	my
384072	385010	A	0.99291	microphone
385430	385794	A	0.76	and
385832	386046	A	0.99994	I'm
386078	386322	A	1.0	using
386376	386814	A	0.7672	degrees
386862	387026	A	1.0	of
387048	387326	A	0.78588	freedom
387358	387506	A	1.0	of
387528	387666	A	1.0	the
387688	387970	A	0.99999	local
388040	388622	A	0.52473	photon
388686	389394	A	0.79243	field
389592	389954	A	1.0	to
389992	390194	A	0.99996	see
390232	390482	A	1.0	my
390536	391140	A	0.99997	screen.
392090	392840	A	0.90764	So
393370	393782	A	1.0	all
393836	394626	A	0.59674	communication
394738	395350	A	0.9998	between
395500	396200	A	0.99045	agents
396970	397334	A	0.84	and
397372	397622	A	0.9999	certainly
397676	397894	A	1.0	all
397932	398450	A	0.57568	classical
398530	399202	A	0.99987	communication
399266	399590	A	0.99991	between
399660	400280	A	0.99849	agents
400650	401202	A	0.99256	uses
401266	401714	A	0.70862	degrees
401762	401926	A	1.0	of
401948	402226	A	0.99996	freedom
402258	402406	A	1.0	of
402428	402566	A	1.0	the
402588	403122	A	0.99385	environment.
403186	403414	A	0.99	And
403452	403558	A	1.0	the
403564	404062	A	0.59055	environment,
404146	404490	A	0.99962	remember,
404560	404794	A	0.99944	is
404832	404986	A	1.0	the
405008	405290	A	0.99997	other
405360	405786	A	0.99985	system,
405888	406726	A	0.97066	Bob,
406918	407446	A	0.99471	that's
407478	407674	A	0.99998	on
407712	407866	A	1.0	the
407888	408122	A	0.99995	other
408176	408394	A	0.99997	side
408432	408586	A	1.0	of
408608	408842	A	0.99992	that
408896	409254	A	0.99943	shared
409302	410090	A	0.97441	boundary.
410750	411162	A	0.99577	So
411216	411398	A	0.99472	we're
411414	411546	A	0.76716	going
411568	411658	A	1.0	to
411664	411834	A	0.99999	be
411872	412266	A	0.99998	interested
412368	412634	A	0.99997	in
412672	412970	A	0.99996	how
413040	413686	A	0.99978	components
413718	413866	A	1.0	of
413888	414614	A	0.69579	Alice
414742	415274	A	0.54	use
415392	416102	A	0.9459	Bob
416246	416566	A	0.99928	as
416608	416766	A	0.97	a
416788	417322	A	0.69553	communication
417386	417758	A	0.99838	channel
417844	418046	A	0.93	and
418068	418206	A	0.99991	in
418228	418414	A	0.99965	fact,
418452	418654	A	0.93193	as
418692	419114	A	0.99961	multiple
419162	419802	A	0.99927	communication
419866	420698	A	0.99849	channels.
420874	421214	A	0.98	And
421252	421406	A	1.0	I
421428	421662	A	0.99991	just
421716	421982	A	0.99992	wanted
422036	422542	A	0.86	to
422676	423402	A	0.99933	quote
423546	423902	A	1.0	my
423956	424442	A	0.6064	colleague
424506	424734	A	1.0	and
424772	425022	A	0.99953	friend
425076	425354	A	0.99909	Mike
425402	426170	A	0.98632	Levin
426330	426606	A	0.99816	in
426628	426814	A	0.8098	his
426852	427226	A	0.99996	statement
427258	427406	A	0.99997	that
427428	427662	A	1.0	all
427716	428234	A	0.99975	intelligence
428282	428494	A	0.97991	is
428532	429558	A	0.99714	composite.
429754	430066	A	0.99	All
430088	430226	A	0.94	of
430248	430530	A	0.99	us,
430600	430882	A	1.0	all
430936	431982	A	0.95148	organisms,
432126	432530	A	0.82362	even
432600	432930	A	0.99999	single
433000	433890	A	0.81256	cells,
434230	434738	A	0.99979	are
434824	435502	A	0.99931	composite
435566	436462	A	1.0	systems
436606	437154	A	0.99996	that
